str_id,int_id
4bf58dd8d48988d100941735,0
4bf58dd8d48988d1ff931735,1
4bf58dd8d48988d100951735,2
4d4b7105d754a06378d81259,3
4bf58dd8d48988d101941735,4
4bf58dd8d48988d175941735,5
4bf58dd8d48988d101951735,6
4bf58dd8d48988d102941735,7
4bf58dd8d48988d102951735,8
4bf58dd8d48988d103951735,9
4bf58dd8d48988d103941735,10
4e67e38e036454776db1fb3a,11
4bf58dd8d48988d104941735,12
4d4b7105d754a06375d81259,13
4bf58dd8d48988d104951735,14
4bf58dd8d48988d105941735,15
4bf58dd8d48988d105951735,16
4bf58dd8d48988d106941735,17
4bf58dd8d48988d106951735,18
4bf58dd8d48988d107941735,19
4d4b7105d754a06374d81259,20
4bf58dd8d48988d107951735,21
4bf58dd8d48988d108941735,22
4bf58dd8d48988d108951735,23
4bf58dd8d48988d109941735,24
4bf58dd8d48988d109951735,25
4bf58dd8d48988d10a941735,26
4bf58dd8d48988d10a951735,27
4bf58dd8d48988d10b941735,28
4bf58dd8d48988d10b951735,29
4bf58dd8d48988d10c941735,30
4bf58dd8d48988d10c951735,31
4bf58dd8d48988d10d941735,32
4bf58dd8d48988d10d951735,33
4bf58dd8d48988d10e941735,34
4bf58dd8d48988d10e951735,35
4bf58dd8d48988d1f9941735,36
4bf58dd8d48988d10f941735,37
4bf58dd8d48988d10f951735,38
4bf58dd8d48988d110941735,39
4bf58dd8d48988d110951735,40
4bf58dd8d48988d111941735,41
4bf58dd8d48988d111951735,42
4bf58dd8d48988d112941735,43
4bf58dd8d48988d112951735,44
4bf58dd8d48988d113941735,45
4bf58dd8d48988d113951735,46
4bf58dd8d48988d114941735,47
4bf58dd8d48988d114951735,48
4bf58dd8d48988d115941735,49
4bf58dd8d48988d115951735,50
4bf58dd8d48988d116941735,51
4d4b7105d754a06376d81259,52
4bf58dd8d48988d116951735,53
4bf58dd8d48988d117941735,54
4bf58dd8d48988d117951735,55
4bf58dd8d48988d118941735,56
4bf58dd8d48988d118951735,57
4bf58dd8d48988d119941735,58
4bf58dd8d48988d119951735,59
4bf58dd8d48988d11a941735,60
4bf58dd8d48988d11a951735,61
4bf58dd8d48988d11b941735,62
4bf58dd8d48988d11b951735,63
4bf58dd8d48988d11c941735,64
4bf58dd8d48988d11d941735,65
4bf58dd8d48988d11d951735,66
4bf58dd8d48988d11e941735,67
4bf58dd8d48988d11e951735,68
4bf58dd8d48988d11f941735,69
4bf58dd8d48988d11f951735,70
4bf58dd8d48988d120941735,71
4bf58dd8d48988d120951735,72
4bf58dd8d48988d121941735,73
4bf58dd8d48988d121951735,74
4bf58dd8d48988d122941735,75
4bf58dd8d48988d122951735,76
4bf58dd8d48988d123941735,77
4bf58dd8d48988d123951735,78
4bf58dd8d48988d124941735,79
4bf58dd8d48988d124951735,80
4bf58dd8d48988d125941735,81
4bf58dd8d48988d126941735,82
4bf58dd8d48988d126951735,83
4bf58dd8d48988d127941735,84
4bf58dd8d48988d127951735,85
4bf58dd8d48988d128941735,86
4bf58dd8d48988d128951735,87
4bf58dd8d48988d129941735,88
4bf58dd8d48988d129951735,89
4d4b7105d754a06379d81259,90
4bf58dd8d48988d12a941735,91
4bf58dd8d48988d12a951735,92
4bf58dd8d48988d12b941735,93
4bf58dd8d48988d12b951735,94
4bf58dd8d48988d1fe931735,95
4bf58dd8d48988d12c941735,96
4bf58dd8d48988d12c951735,97
4bf58dd8d48988d12d941735,98
4bf58dd8d48988d12d951735,99
4e51a0c0bd41d3446defbb2e,100
4bf58dd8d48988d12e941735,101
4bf58dd8d48988d12f941735,102
4bf58dd8d48988d12f951735,103
4bf58dd8d48988d1fa931735,104
4bf58dd8d48988d130941735,105
4bf58dd8d48988d130951735,106
4bf58dd8d48988d131941735,107
4bf58dd8d48988d131951735,108
4bf58dd8d48988d132941735,109
4bf58dd8d48988d132951735,110
4bf58dd8d48988d133951735,111
4bf58dd8d48988d134941735,112
4bf58dd8d48988d1f2931735,113
4bf58dd8d48988d135941735,114
4bf58dd8d48988d136941735,115
4bf58dd8d48988d137941735,116
4bf58dd8d48988d138941735,117
4bf58dd8d48988d139941735,118
4bf58dd8d48988d13a941735,119
4bf58dd8d48988d13b941735,120
4bf58dd8d48988d13d941735,121
4bf58dd8d48988d141941735,122
4d4b7105d754a06372d81259,123
4bf58dd8d48988d142941735,124
4bf58dd8d48988d143941735,125
4bf58dd8d48988d144941735,126
4bf58dd8d48988d145941735,127
4bf58dd8d48988d146941735,128
4bf58dd8d48988d147941735,129
4bf58dd8d48988d148941735,130
4bf58dd8d48988d149941735,131
4bf58dd8d48988d14a941735,132
4bf58dd8d48988d14b941735,133
4bf58dd8d48988d14c941735,134
4bf58dd8d48988d14d941735,135
4bf58dd8d48988d150941735,136
4bf58dd8d48988d14e941735,137
4bf58dd8d48988d14f941735,138
4bf58dd8d48988d151941735,139
4bf58dd8d48988d152941735,140
4bf58dd8d48988d153941735,141
4bf58dd8d48988d154941735,142
4bf58dd8d48988d155941735,143
4bf58dd8d48988d156941735,144
4bf58dd8d48988d157941735,145
4bf58dd8d48988d158941735,146
4bf58dd8d48988d159941735,147
4d4b7105d754a06377d81259,148
4bf58dd8d48988d15a941735,149
4bf58dd8d48988d15b941735,150
4bf58dd8d48988d15c941735,151
4bf58dd8d48988d15d941735,152
4bf58dd8d48988d15e941735,153
4bf58dd8d48988d15f941735,154
4bf58dd8d48988d160941735,155
4bf58dd8d48988d161941735,156
4bf58dd8d48988d162941735,157
4bf58dd8d48988d163941735,158
4bf58dd8d48988d164941735,159
4bf58dd8d48988d165941735,160
4bf58dd8d48988d166941735,161
4bf58dd8d48988d167941735,162
4bf58dd8d48988d168941735,163
4bf58dd8d48988d169941735,164
4bf58dd8d48988d16a941735,165
4bf58dd8d48988d16b941735,166
4bf58dd8d48988d16c941735,167
4bf58dd8d48988d16d941735,168
4bf58dd8d48988d16e941735,169
4bf58dd8d48988d16f941735,170
4bf58dd8d48988d171941735,171
4bf58dd8d48988d172941735,172
4bf58dd8d48988d173941735,173
4bf58dd8d48988d174941735,174
4bf58dd8d48988d176941735,175
4bf58dd8d48988d177941735,176
